row_count,field_count,field_name_values,issuedate_min,issuedate_max,new_class_unique_count,new_class_unique_values,new_type_unique_count,new_type_unique_values,usetype_unique_count,usetype_values,units_unique_count,units_unique_values,value_unique_count,value_unique_values,sqft_unique_count,sqft_unique_values,nbrhood_unique_count,nbrhood_unique_values
24952,12,id,1/3/1995,6/30/2015,6,ADDITION,11,ADU,44,Accessory Dwe,168,1,14792,0,4316,0,105,NULL
,,caseno,,,,ALTERATION,,APARTMENT/CONDO,,Accessory Dwelling Unit,,2,,1,,1,,Alameda
,,new_class,,,,FIRST,,ASSEMBLY,,Accessory Structure,,3,,20,,3,,Arbor Lodge
,,new_type,,,,MOVE,,BUSINESS,,ADU,,4,,50,,9,,Ardenwald-Johnson Creek
,,usetype,,,,NEW CONSTRUCTION,,CONVERSION,,Apartments/Co,,5,,100,,14,,Argay
,,units,,,,REPLACEMENT,,DUPLEX,,Apartments/Condos (3 or more u,,6,,102,,15,,Arlington Heights
,,value,,,,,,HOTEL/MOTEL,,Apartments/Condos (3 or more un,,7,,110,,16,,Arnold Creek
,,sqft,,,,,,ROWHOUSE,,Apartments/Condos (3 or more uni,,8,,150,,20,,Ashcreek
,,issuedate,,,,,,SFR,,Apartments/Condos (3 or more units),,9,,200,,22,,Beaumont-Wilshire
,,nbrhood,,,,,,SPECIAL RESIDENT*,,ARU,,10,,250,,24,,Birdshill
,,description,,,,,,TOWNHOUSE,,Assembly,,11,,277,,29,,Boise
,,address,,,,,,,,BUS,,12,,300,,36,,Brentwood-Darlington
,,,,,,,,,,Business,,13,,340,,45,,Bridgeton
,,,,,,,,,,CONVERSIO,,14,,350,,50,,Bridlemile
,,,,,,,,,,CONVERSION,,15,,400,,52,,Brooklyn
,,,,,,,,,,DUP,,16,,499,,54,,Buckman
,,,,,,,,,,Duplex,,17,,500,,55,,Cathedral Park
,,,,,,,,,,Educational,,18,,550,,59,,Centennial
,,,,,,,,,,Floating Home,,19,,600,,60,,Collins View
,,,,,,,,,,Hotel/Motel,,20,,700,,64,,Concordia
,,,,,,,,,,HSE,,21,,800,,68,,CPO 1 Cedar Hills-Cedar Mill S
,,,,,,,,,,Institutional,,22,,900,,72,,CPO 3 Garden Home-Raleigh Hills
,,,,,,,,,,MAN,,23,,1000,,76,,CPO 8
,,,,,,,,,,Mercantile,,24,,1065,,80,,Creston-Kenilworth
,,,,,,,,,,Other,,25,,1200,,84,,Crestwood
,,,,,,,,,,RES,,26,,1300,,87,,Cully
,,,,,,,,,,Residenti,,27,,1400,,88,,Denney Whitford
,,,,,,,,,,Residential,,28,,1419,,90,,East Columbia
,,,,,,,,,,ROW,,29,,1427,,92,,Eastmoreland
,,,,,,,,,,Row House,,30,,1450,,96,,Eliot
,,,,,,,,,,Row House (2-units),,31,,1500,,100,,Englewood Area
,,,,,,,,,,Row house (3,,32,,1600,,105,,Far Southwest
,,,,,,,,,,Row House (3 or more units),,33,,1606,,106,,Forest Park
,,,,,,,,,,Rowhouse (2 units),,34,,1654,,108,,Foster-Powell
,,,,,,,,,,Rowhouse (2-u,,35,,1700,,110,,Glenfair
,,,,,,,,,,Rowhouse (2-units),,36,,1800,,120,,Goose Hollow
,,,,,,,,,,Rowhouse (3 or more units),,37,,1840,,124,,Grant Park
,,,,,,,,,,SFR,,39,,2000,,126,,Happy Valley
,,,,,,,,,,Sgl Family Dwelling with Garage/Car*,,40,,2050,,133,,Hayden Island
,,,,,,,,,,Single Family,,42,,2200,,140,,Hayhurst
,,,,,,,,,,Single Family Dwelling,,43,,2243,,144,,Hazelwood
,,,,,,,,,,Special Residential,,44,,2300,,149,,Healy Heights
,,,,,,,,,,Townhouse (2 Units),,45,,2350,,150,,Hillsdale
,,,,,,,,,,Townhouse (3 or more units),,46,,2400,,152,,Hillside
,,,,,,,,,,,,47,,2450,,156,,Hollywood
,,,,,,,,,,,,48,,2500,,160,,Homestead
,,,,,,,,,,,,49,,2650,,162,,Hosford-Abernethy
,,,,,,,,,,,,50,,2707,,168,,Humboldt
,,,,,,,,,,,,51,,2750,,170,,Irvington
,,,,,,,,,,,,52,,2800,,172,,Kenton
,,,,,,,,,,,,53,,2875,,173,,Kerns
,,,,,,,,,,,,54,,2957,,174,,King
,,,,,,,,,,,,55,,3000,,176,,Laurelhurst
,,,,,,,,,,,,56,,3010,,180,,Lents
,,,,,,,,,,,,57,,3150,,184,,Linnton
,,,,,,,,,,,,58,,3162,,190,,Lloyd District
,,,,,,,,,,,,59,,3200,,192,,Madison South
,,,,,,,,,,,,60,,3250,,195,,Maplewood
,,,,,,,,,,,,61,,3300,,196,,Markham
,,,,,,,,,,,,62,,3320,,198,,Marshall Park
,,,,,,,,,,,,63,,3400,,200,,Maywood Park
,,,,,,,,,,,,64,,3480,,201,,Mill Park
,,,,,,,,,,,,65,,3500,,204,,Montavilla
,,,,,,,,,,,,66,,3600,,210,,Mt. Scott-Arleta
,,,,,,,,,,,,67,,3692,,211,,Mt. Tabor
,,,,,,,,,,,,68,,3700,,214,,Multnomah
,,,,,,,,,,,,69,,3741,,218,,North Tabor
,,,,,,,,,,,,70,,3800,,219,,Northwest District
,,,,,,,,,,,,72,,3900,,220,,Northwest Heights
,,,,,,,,,,,,74,,3926,,221,,Northwest Industrial
,,,,,,,,,,,,75,,4000,,222,,Old Town
,,,,,,,,,,,,76,,4100,,225,,Overlook
,,,,,,,,,,,,77,,4135,,227,,Parkrose
