NHGISCODE,GJOIN1970,GJOIN1980,GJOIN1990,GJOIN2000,GJOIN2010,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,TRACTA,NAME1970,NAME1980,NAME1990,NAME2000,NAME2010,B37AA1970,B37AA1980,B37AA1990,B37AA2000,B37AA2010,B37AB1970,B37AB1980,B37AB1990,B37AB2000,B37AB2010
NHGIS Integrated Geographic Unit Code,"GIS Join Match Code, 1970","GIS Join Match Code, 1980","GIS Join Match Code, 1990","GIS Join Match Code, 2000","GIS Join Match Code, 2010",NHGIS Integrated State Name,FIPS State Code,NHGIS Integrated State Code,NHGIS Integrated County Name,FIPS County Code,NHGIS Integrated County Code,NHGIS Integrated Census Tract Code,"Area Name, 1970","Area Name, 1980","Area Name, 1990","Area Name, 2000","Area Name, 2010",1970: Housing units: Owner occupied,1980: Housing units: Owner occupied,1990: Housing units: Owner occupied,2000: Housing units: Owner occupied,2010: Housing units: Owner occupied,1970: Housing units: Renter occupied,1980: Housing units: Renter occupied,1990: Housing units: Renter occupied,2000: Housing units: Renter occupied,2010: Housing units: Renter occupied
"G4100010950100",,,"G41000109501","G4100010950100","G4100010950100","Oregon","41","410","Baker County","001","0010","950100",,,"BNA 9501","Census Tract 9501","Census Tract 9501",,,721,937,990,,,234,252,221
"G4100010950200",,,"G41000109502","G4100010950200","G4100010950200","Oregon","41","410","Baker County","001","0010","950200",,,"BNA 9502","Census Tract 9502","Census Tract 9502",,,772,863,886,,,400,378,485
"G4100010950300",,,"G41000109503","G4100010950300","G4100010950300","Oregon","41","410","Baker County","001","0010","950300",,,"BNA 9503","Census Tract 9503","Census Tract 9503",,,706,773,735,,,364,415,417
"G4100010950400",,,"G41000109504","G4100010950400","G4100010950400","Oregon","41","410","Baker County","001","0010","950400",,,"BNA 9504","Census Tract 9504","Census Tract 9504",,,738,835,838,,,376,441,516
"G4100010950500",,,"G41000109505","G4100010950500","G4100010950500","Oregon","41","410","Baker County","001","0010","950500",,,"BNA 9505","Census Tract 9505","Census Tract 9505",,,673,708,691,,,277,303,322
"G4100010950600",,,"G41000109506","G4100010950600","G4100010950600","Oregon","41","410","Baker County","001","0010","950600",,,"BNA 9506","Census Tract 9506","Census Tract 9506",,,600,708,670,,,257,270,269
"G4100010990100",,"G41000109901",,,,"Oregon","41","410","Baker County","001","0010","990100",,"State: 41 County: 001 Tract: 9901",,,,,1204,,,,,469,,,
"G4100010990200",,"G41000109902",,,,"Oregon","41","410","Baker County","001","0010","990200",,"State: 41 County: 001 Tract: 9902",,,,,890,,,,,370,,,
"G4100010990300",,"G41000109903",,,,"Oregon","41","410","Baker County","001","0010","990300",,"State: 41 County: 001 Tract: 9903",,,,,547,,,,,248,,,
"G4100030000100",,"G41000300001","G41000300001","G4100030000100","G4100030000100","Oregon","41","410","Benton County","003","0030","000100",,"State: 41 County: 003 Tract: 1","Tract 1","Census Tract 1","Census Tract 1",,874,894,1113,1423,,711,935,1097,1498
"G4100030000200",,"G41000300002","G41000300002","G4100030000200",,"Oregon","41","410","Benton County","003","0030","000200",,"State: 41 County: 003 Tract: 2","Tract 2","Census Tract 2",,,547,639,1048,,,110,140,715,
"G4100030000202",,,,,"G4100030000202","Oregon","41","410","Benton County","003","0030","000202",,,,,"Census Tract 2.02",,,,,1302,,,,,953
"G4100030000300",,"G41000300003","G41000300003","G4100030000300",,"Oregon","41","410","Benton County","003","0030","000300",,"State: 41 County: 003 Tract: 3","Tract 3","Census Tract 3",,,660,707,995,,,148,164,182,
"G4100030000400",,"G41000300004","G41000300004","G4100030000400","G4100030000400","Oregon","41","410","Benton County","003","0030","000400",,"State: 41 County: 003 Tract: 4","Tract 4","Census Tract 4","Census Tract 4",,1355,1692,2078,2298,,545,703,883,999
"G4100030000500",,"G41000300005","G41000300005","G4100030000500","G4100030000500","Oregon","41","410","Benton County","003","0030","000500",,"State: 41 County: 003 Tract: 5","Tract 5","Census Tract 5","Census Tract 5",,838,919,1013,1030,,126,225,213,268
"G4100030000600",,"G41000300006","G41000300006","G4100030000600","G4100030000600","Oregon","41","410","Benton County","003","0030","000600",,"State: 41 County: 003 Tract: 6","Tract 6","Census Tract 6","Census Tract 6",,843,855,1142,1106,,402,583,881,984
"G4100030000700",,"G41000300007","G41000300007","G4100030000700",,"Oregon","41","410","Benton County","003","0030","000700",,"State: 41 County: 003 Tract: 7","Tract 7","Census Tract 7",,,98,96,90,,,601,574,552,
"G4100030000800",,"G41000300008","G41000300008",,,"Oregon","41","410","Benton County","003","0030","000800",,"State: 41 County: 003 Tract: 8","Tract 8",,,,392,365,,,,1308,1620,,
"G4100030000801",,,,"G4100030000801",,"Oregon","41","410","Benton County","003","0030","000801",,,,"Census Tract 8.01",,,,,263,,,,,606,
"G4100030000802",,,,"G4100030000802",,"Oregon","41","410","Benton County","003","0030","000802",,,,"Census Tract 8.02",,,,,112,,,,,986,
